כותרת,קטגוריה,קישורים_נכנסים,קישורים_יוצאים,סך_קישורים,PageRank
פרשת דרייפוס,תולדות עם ישראל,6,5,11,0.002881
עיתונות יהודית היסטורית,מדעי הרוח הדיגיטליים,3,1,4,0.002807
נגד אפיון,תולדות עם ישראל,5,3,8,0.002794
ג'יימס לסלי סטרקי,ארכאולוגיה של ארץ ישראל,5,3,8,0.002761
נלסון גליק,ארכאולוגיה של ארץ ישראל,5,0,5,0.002739
שטעטל,תולדות עם ישראל,7,6,13,0.002693
תחיית הלשון העברית,תולדות עם ישראל,5,10,15,0.002652
אולגה טפנל,ארכאולוגיה של ארץ ישראל,3,4,7,0.002628
עברית מקראית,תולדות עם ישראל,4,4,8,0.002624
שפות יהודיות,תולדות עם ישראל,3,5,8,0.002597
בבתא,ארכאולוגיה של ארץ ישראל,2,4,6,0.002545
פרדריק בליס,ארכאולוגיה של ארץ ישראל,4,3,7,0.002517
התייוונות,תולדות עם ישראל,5,3,8,0.002501
פיליפ לנגסטף אורד גיא,ארכאולוגיה של ארץ ישראל,3,5,8,0.002497
ז'אן פרו,ארכאולוגיה של ארץ ישראל,3,4,7,0.002464
כותר (ספרייה דיגיטלית),מדעי הרוח הדיגיטליים,6,1,7,0.002411
מלאח,תולדות עם ישראל,4,2,6,0.002368
המיתוס של עשרת השבטים האבודים,תולדות עם ישראל,2,5,7,0.002357
דורותי גארוד,ארכאולוגיה של ארץ ישראל,4,3,7,0.002226
מדד האנטישמיות בעולם,תולדות עם ישראל,6,6,12,0.002157
רוברט ויליאם המילטון,ארכאולוגיה של ארץ ישראל,2,4,6,0.002138
פרויקט רונברג,מדעי הרוח הדיגיטליים,1,1,2,0.002124
ציון (כתב עת),תולדות עם ישראל,6,1,7,0.002084
ממלכת הכוזרים,תולדות עם ישראל,5,4,9,0.002079
אחרונים,תולדות עם ישראל,5,7,12,0.001969
ויקיספר,מדעי הרוח הדיגיטליים,1,1,2,0.001919
קרל ואצינגר,ארכאולוגיה של ארץ ישראל,1,2,3,0.001894
הלני המלכה,תולדות עם ישראל,1,2,3,0.001894
שבתי צבי,תולדות עם ישראל,4,9,13,0.001887
דימיטרי בראמכי,ארכאולוגיה של ארץ ישראל,2,2,4,0.001819
המכון לארכאולוגיה (הר הצופים),ארכאולוגיה של ארץ ישראל,2,2,4,0.001809
רנה נוויל,ארכאולוגיה של ארץ ישראל,2,4,6,0.001808
משפט פריז,תולדות עם ישראל,4,2,6,0.001774
הקריה הלאומית לארכאולוגיה של ארץ ישראל,ארכאולוגיה של ארץ ישראל,1,1,2,0.001713
גאליקה,מדעי הרוח הדיגיטליים,1,1,2,0.001699
הרס אתרי מורשת ישראלית,ארכאולוגיה של ארץ ישראל,5,3,8,0.00165
יעקב שויקה,מדעי הרוח הדיגיטליים,1,2,3,0.001632
המכון לסקירה היסטורית,תולדות עם ישראל,3,2,5,0.001608
